City,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Hong Kong,40,cn,68,22.29,114.16,70.48,4.7
Nipawin,1,ca,58,53.37,-104.0,57.2,10.29
Sistranda,75,no,80,63.73,8.83,39.2,2.24
Rocha,100,uy,82,-34.48,-54.33,61.74,8.66
Mapiripán,36,co,59,2.89,-72.13,82.04,5.28
Wanxian,61,cn,57,30.8,108.39,64.18,0.25
Ulaanbaatar,69,mn,30,47.91,106.88,44.6,5.32
Kwinana,45,au,82,-32.25,115.77,60.42,6.93
Palauig,17,ph,60,15.44,119.9,86.18,1.25
Taganak,40,ph,94,6.08,118.3,80.29,4.7
Pacific Grove,1,us,56,36.62,-121.92,69.24,6.93
Darhan,65,mn,43,49.49,105.92,57.27,2.93
Polewali,100,id,82,-3.43,119.34,76.66,5.3
Kulynychi,100,ua,52,49.98,36.38,49.42,12.88
Dickson,88,us,93,36.08,-87.39,53.42,5.01
Del Rio,1,us,20,29.36,-100.9,87.03,4.7
Lagoa,62,pt,68,39.05,-27.98,57.09,22.97
Liku,100,id,78,-0.73,119.89,78.87,2.28
Luganville,75,vu,74,-15.53,167.17,84.2,9.17
Toamasina,20,mg,94,-18.17,49.38,71.6,5.1
Tommot,0,ru,62,58.96,126.29,40.75,3.74
Macao,40,cn,78,22.2,113.55,71.6,6.93
Freeport,1,us,40,40.66,-73.58,49.73,5.82
Olinda,40,br,94,-8.01,-34.86,77.0,5.82
Buraidah,5,sa,36,26.33,43.98,78.8,9.17
Leeton,75,au,100,-34.57,146.4,59.5,11.41
San Andrés,40,co,74,12.58,-81.7,84.2,10.29
Mattru,89,sl,86,7.62,-11.83,78.31,3.04
Camamu,15,br,84,-13.94,-39.1,76.28,7.99
Quang Ngai,94,vn,85,15.12,108.8,77.5,7.54
Calama,0,cl,21,-22.47,-68.93,60.8,5.82
Ylivieska,78,fi,75,64.08,24.55,33.98,3.0
Wanning,85,cn,88,18.8,110.4,72.16,8.84
Merauke,96,id,72,-8.47,140.33,84.27,10.33
Huazhou,99,cn,77,21.63,110.58,67.26,5.17
Gannan,100,cn,54,47.91,123.5,46.02,6.11
Mount Isa,0,au,32,-20.73,139.5,84.2,10.29
Paracuru,99,br,86,-3.41,-39.03,77.0,1.01
Luau,1,ao,59,-10.71,22.22,62.74,2.89
Pemangkat,94,id,85,1.17,108.97,78.66,4.16
Boa Vista,15,br,55,2.82,-60.67,86.0,5.82
Baikunthpur,51,in,55,23.25,82.55,71.1,1.07
Norman,40,us,33,35.22,-97.44,70.57,11.41
Takoradze,72,gh,83,4.88,-1.76,80.94,9.37
Brownsville,75,us,65,25.9,-97.5,80.87,11.41
Talnakh,100,ru,85,69.49,88.4,24.8,11.18
Venado Tuerto,100,ar,88,-33.75,-61.97,62.01,11.01
Moba,12,cn,28,33.23,105.02,47.08,4.05
Cairns,40,au,78,-16.92,145.77,80.11,11.41
Taldan,0,ru,46,53.67,124.8,44.31,4.16
Mitsamiouli,13,km,78,-11.38,43.28,82.45,11.9
Ambon City,40,id,94,-3.7,128.18,75.2,6.93
Borogontsy,4,ru,75,62.67,131.17,37.53,3.02
Waddān,43,ly,30,29.16,16.14,75.49,19.17
Balabac,89,ph,73,7.99,117.06,85.46,14.03
Raja,0,sd,24,8.46,25.68,75.52,3.62
Kathu,20,th,94,7.92,98.33,78.8,1.12
Yangi Marg`ilon,87,uz,68,40.43,71.72,64.4,4.7
Revelstoke,75,ca,87,50.98,-118.2,48.2,13.87
Maple Creek,54,ca,30,49.92,-109.48,61.0,14.76
Norrtälje,46,se,76,59.76,18.7,43.32,5.01
Bandiagara,72,ml,19,14.35,-3.61,91.4,16.11
Mana,52,gf,89,5.66,-53.78,77.09,8.63
Gigmoto,15,ph,79,13.78,124.39,82.69,12.77
Cidreira,39,br,72,-30.18,-50.21,70.43,7.14
Los Llanos de Aridane,96,es,72,28.66,-17.92,62.6,5.82
Ostrovnoy,97,ru,95,68.05,39.51,28.58,7.05
Sakakah,0,sa,39,29.97,40.21,64.4,20.8
Hella,75,no,64,67.2,14.43,38.08,12.75
Hualmay,0,pe,76,-11.1,-77.61,70.29,6.13
Fredericton,1,ca,41,45.95,-66.67,43.66,4.47
Königswinter,7,de,86,50.68,7.18,39.72,1.12
Torbat-e Jām,0,ir,40,35.24,60.62,65.57,1.3
Ndioum,39,sn,30,16.51,-14.65,86.0,4.7
Kishanpur,10,in,41,25.65,81.02,79.95,7.78
Tautira,14,pf,78,-17.73,-149.15,82.18,12.75
Vila,87,pt,93,42.03,-8.16,50.0,5.99
Dolinsk,40,ru,74,47.35,142.8,37.4,17.9
Inhambane,4,mz,84,-23.86,35.38,72.93,7.92
Quelimane,1,mz,87,-17.88,36.89,71.44,1.14
Lufilufi,67,ws,83,-13.87,-171.6,84.0,4.0
Edson,90,ca,35,53.58,-116.44,55.4,5.82
Bhongīr,40,in,88,17.51,78.89,80.6,4.7
Igrim,100,ru,94,63.19,64.42,29.14,4.72
Dumas,1,us,37,35.87,-101.97,66.2,3.36
Irauçuba,77,br,91,-3.75,-39.78,73.62,0.87
Whitehorse,75,ca,40,60.72,-135.05,35.22,9.17
West Wendover,1,us,19,40.74,-114.07,73.4,8.05
Vao,40,nc,64,-22.67,167.48,74.08,14.79
Dargaville,49,nz,67,-35.93,173.88,67.39,6.76
Kilinochchi,78,lk,87,9.4,80.4,79.36,6.85
Vila Velha,20,br,78,-20.33,-40.29,74.55,2.24
Grindavik,46,is,80,63.84,-22.43,39.2,13.87
Vila do Maio,75,cv,68,15.13,-23.22,71.6,17.22
Río Gallegos,31,ar,44,-51.62,-69.22,41.0,9.17
Itarema,97,br,87,-2.92,-39.92,77.04,4.0
Margate,0,gb,75,51.38,1.39,43.43,1.99
